"filename", "language", "Markdown", "Docker", "Python", "reStructuredText", "YAML", "pip requirements", "Shell Script", "JSON", "Makefile", "comment", "blank", "total"
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\index.rst", "reStructuredText", 0, 0, 0, 116, 0, 0, 0, 0, 0, 14, 53, 183
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\airflow.rst", "reStructuredText", 0, 0, 0, 38, 0, 0, 0, 0, 0, 2, 18, 58
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\api_futures.rst", "reStructuredText", 0, 0, 0, 15, 0, 0, 0, 0, 0, 2, 10, 27
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\api_multiprocessing.rst", "reStructuredText", 0, 0, 0, 79, 0, 0, 0, 0, 0, 7, 39, 125
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\api_stats.rst", "reStructuredText", 0, 0, 0, 110, 0, 0, 0, 0, 0, 7, 32, 149
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\api_storage.rst", "reStructuredText", 0, 0, 0, 30, 0, 0, 0, 0, 0, 5, 23, 58
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\api_storage_os.rst", "reStructuredText", 0, 0, 0, 124, 0, 0, 0, 0, 0, 9, 62, 195
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\cli.rst", "reStructuredText", 0, 0, 0, 301, 0, 0, 0, 0, 0, 0, 74, 375
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\comparing_lithops.rst", "reStructuredText", 0, 0, 0, 47, 0, 0, 0, 0, 0, 5, 26, 78
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_backends.rst", "reStructuredText", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 4, 10
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_config\aliyun_functions.md", "Markdown", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 60
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_config\aws_batch.md", "Markdown", 67, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 84
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_config\aws_ec2.md", "Markdown", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 128
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_config\aws_lambda.md", "Markdown", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 137
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_config\azure_functions.md", "Markdown", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 93
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_config\code_engine.md", "Markdown", 140, 0, 0, 0, 0, 0, 0, 0, 0, 0, 67, 207
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_config\gcp_cloudrun.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 66
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_config\gcp_functions.md", "Markdown", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 66
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_config\ibm_cf.md", "Markdown", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 120
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_config\ibm_vpc.md", "Markdown", 151, 0, 0, 0, 0, 0, 0, 0, 0, 0, 52, 203
"c:\Users\asus\Desktop\ADSL\lithops-master\docs\source\compute_config\k8s_job.md", "Markdown", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 66
